,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,-additional
Rk,Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,Ga_pct_minus_po,Gs_above_avg_po,-9999
1,Cam Ward,21,23,,15,8,0,47,584,537,.920,2.14,2,1320,,,,86,7.9,wardca01
2,Martin Gerber,31,6,,1,1,,13,90,77,.856,3.52,1,221,,,,,,gerbema01
,Team Total,,,,16,9,0,60,674,614,.911,2.34,3,1541,,,,95,3.3,-9999
